Exam	Candidate	Number of applicants	Admission number	Admission rate
(博)犯罪防治研究所甄試	_	1	0	0
(碩)警察政策研究所甄試	_	15	8	0.53
(碩)犯罪防治研究所甄試	一般名額	3	2	0.67
(碩)犯罪防治研究所甄試	專案名額	1	1	1
(碩)水上警察研究所甄試	海洋法制組	0	0	0
(碩)水上警察研究所甄試	海洋科技組	2	1	0.5
(碩)行政管理研究所甄試	_	2	2	1
(碩)國境警察學系甄試碩士班	專案名額	3	2	0.67
(碩)公共安全研究所甄試	一般名額	1	0	0
(碩)公共安全研究所甄試	專案名額	4	4	1
(碩)鑑識科學研究所甄試	專案名額	1	1	1
(博)犯罪防治所	犯罪防治組	10	6	0.6
(博)犯罪防治所	刑事司法組	1	1	1
(博)鑑識科學所	化學、物理組	1	1	1
(博)鑑識科學所	偵查科學組	1	0	0
(博)警察政策所	警察行政組	10	3	0.3
(博)警察政策所	警察法學組	4	3	0.75
(碩)警察政策研究所	警察行政組	140	10	0.07
(碩)警察政策研究所	警察法學組	35	6	0.17
(碩)刑事警察研究所	偵查科學組	19	7	0.37
(碩)刑事警察研究所	刑事司法組	80	9	0.11
(碩)犯罪防治研究所	_	46	14	0.3
(碩)消防科學研究所	_	51	10	0.2
(碩)鑑識科學研究所	_	45	13	0.29
(碩)資訊管理研究所	_	31	7	0.23
(碩)水上警察研究所	海洋法制組	16	6	0.38
(碩)水上警察研究所	海洋科技組	6	4	0.67
(碩)交通管理研究所	_	32	9	0.28
(碩)行政管理研究所	_	43	7	0.16
(碩)外事警察研究所	_	44	10	0.23
(碩)國境警察學系碩士班	_	52	8	0.15
(碩)公共安全研究所	_	29	8	0.28
(碩)法律學研究所	_	118	14	0.12
(碩)防災研究所	_	41	10	0.24
學士班二年制技術系	行政警察學系	838	42	0.05
學士班二年制技術系	刑事警察學系	341	20	0.06
學士班二年制技術系	交通學系	157	15	0.1
學士班二年制技術系	消防學系	118	14	0.12
學士班二年制技術系	水上警察學系	89	9	0.1
學士班四年制	甲組	566	125	0.22
學士班四年制	乙組	1202	163	0.14
警佐班第37期第1類	_	364	70	0.19
警佐班第37期第2類	_	685	40	0.06
警佐班第37期第3類	_	116	10	0.09
消佐班第21期第1類	_	77	10	0.13
消佐班第21期第2類	_	266	10	0.04
消佐班第21期第2類	_	49	10	0.2
